meallion-livekit  | 2026-03-09T12:14:33.215Z	INFO	livekit	server/main.go:208	starting in development mode
meallion-livekit  | 2026-03-09T12:21:39.335Z	WARN	livekit.transport.pion.ice	v4@v4.0.3/gather.go:31	failed to get server reflexive address udp6 stun:stun.l.google.com:19302: write udp6 [::]:52702->[2001:4860:4864:5:8000::1]:19302: sendto: network is unreachable	{"room": "web-1773058892763", "roomID": "RM_9cAqXrPFsX22", "participant": "user-k0amzua", "pID": "PA_S9h9KKQhDwXb", "remote": false, "transport": "PUBLISHER"}
meallion-livekit  | 2026-03-09T12:21:39.780Z	INFO	livekit	rtc/room.go:469	participant active	{"room": "web-1773058892763", "roomID": "RM_9cAqXrPFsX22", "participant": "user-k0amzua", "pID": "PA_S9h9KKQhDwXb", "remote": false, "publisherCandidates": ["[local][selected:1][trickle] udp4 host 172.18.0.3:50908 (resolved: 172.18.0.3:50908)", "[local][trickle] tcp4 host 172.18.0.3:7881 (resolved: 172.18.0.3:7881)", "[local][trickle] udp4 srflx 49.36.243.72:54345 related 0.0.0.0:58597 (resolved: 49.36.243.72:54345)", "[local][trickle] udp4 srflx 49.36.243.72:54344 related 0.0.0.0:59738 (resolved: 49.36.243.72:54344)", "[local][trickle] udp4 srflx 49.36.243.72:52736 related 0.0.0.0:56241 (resolved: 49.36.243.72:52736)", "[remote][selected:1][trickle] udp4 host 172.30.64.1:55368", "[remote][trickle] udp4 host 192.168.29.80:55369", "[remote][trickle] udp6 host 2405:201:5c0a:21bb:496b:3c36:ae41:e...:55370", "[remote][trickle] udp6 host 2405:201:5c0a:21bb:579c:e079:1497:4...:55371", "[remote][trickle] tcp4 host 172.30.64.1:9", "[remote][trickle] tcp4 host 192.168.29.80:9", "[remote][trickle] tcp6 host 2405:201:5c0a:21bb:496b:3c36:ae41:e...:9", "[remote][trickle] tcp6 host 2405:201:5c0a:21bb:579c:e079:1497:4...:9", "[remote][trickle] udp4 srflx 49.36.243...:55369  related 192.168.29.80:55369"], "subscriberCandidates": ["[local][selected:1][trickle] udp4 host 172.18.0.3:52380 (resolved: 172.18.0.3:52380)", "[local][trickle] tcp4 host 172.18.0.3:7881 (resolved: 172.18.0.3:7881)", "[local][trickle] udp4 srflx 49.36.243.72:53121 related 0.0.0.0:57350 (resolved: 49.36.243.72:53121)", "[local][trickle] udp4 srflx 49.36.243.72:53120 related 0.0.0.0:50777 (resolved: 49.36.243.72:53120)", "[local][trickle] udp4 srflx 49.36.243.72:53123 related 0.0.0.0:50149 (resolved: 49.36.243.72:53123)", "[remote][selected:1][trickle] udp4 host 172.30.64.1:55372", "[remote][trickle] udp4 host 192.168.29.80:55373", "[remote][trickle] udp6 host 2405:201:5c0a:21bb:496b:3c36:ae41:e...:55374", "[remote][trickle] udp6 host 2405:201:5c0a:21bb:579c:e079:1497:4...:55375", "[remote][trickle] tcp4 host 172.30.64.1:9", "[remote][trickle] tcp4 host 192.168.29.80:9", "[remote][trickle] tcp6 host 2405:201:5c0a:21bb:496b:3c36:ae41:e...:9", "[remote][trickle] tcp6 host 2405:201:5c0a:21bb:579c:e079:1497:4...:9", "[remote][trickle] udp4 srflx 49.36.243...:55373  related 192.168.29.80:55373"], "connectionType": "udp"}
meallion-livekit  | 2026-03-09T12:21:41.105Z	INFO	livekit.pub	rtc/participant.go:1791	mediaTrack published	{"room": "web-1773058892763", "roomID": "RM_9cAqXrPFsX22", "participant": "user-k0amzua", "pID": "PA_S9h9KKQhDwXb", "remote": false, "kind": "audio", "trackID": "TR_AMiQEZ6vqQQTkX", "webrtcTrackID": "94521326-fd2a-4726-84b1-fafa5c713b22", "rid": "", "SSRC": 2929225419, "mime": "audio/red", "trackInfo": {"sid": "TR_AMiQEZ6vqQQTkX", "type": "AUDIO", "source": "MICROPHONE", "mimeType": "audio/red", "mid": "1", "encryption": "NONE", "stream": "camera", "version": {"unixMicro": 1773058901015065}}, "fromSdp": true}
meallion-livekit  | 2026-03-09T12:21:53.826Z	INFO	livekit.pub	rtc/participant.go:1791	mediaTrack published	{"room": "web-1773058892763", "roomID": "RM_9cAqXrPFsX22", "participant": "agent-AJ_8539Pn3mgiTD", "pID": "PA_auL5StRqPZjj", "remote": false, "kind": "audio", "trackID": "TR_AMsU9Y4qX2bZQt", "webrtcTrackID": "810de2ca-91a4-48e4-a93b-06aa2e0f970d", "rid": "", "SSRC": 3274477888, "mime": "audio/red", "trackInfo": {"sid": "TR_AMsU9Y4qX2bZQt", "type": "AUDIO", "name": "assistant_voice", "source": "MICROPHONE", "mimeType": "audio/red", "mid": "1", "encryption": "NONE", "stream": "camera", "version": {"unixMicro": 1773058913819793}}, "fromSdp": true}
meallion-livekit  | 2026-03-09T12:22:15.398Z	WARN	livekit.pion.tcp_mux	v4@v4.0.3/tcp_packet_conn.go:180	Failed to read streaming packet: EOF
meallion-livekit  | 2026-03-09T12:22:28.352Z	INFO	livekit.api	service/twirp.go:124	API RoomService.ListRooms	{"service": "RoomService", "method": "ListRooms", "room": [], "duration": "468.787µs", "status": "200"}
meallion-livekit  | 2026-03-09T12:22:28.361Z	INFO	livekit.api	service/twirp.go:124	API RoomService.ListParticipants	{"service": "RoomService", "method": "ListParticipants", "room": "web-1773058892763", "duration": "2.522853ms", "status": "200"}
meallion-livekit  | 2026-03-09T12:22:33.392Z	INFO	livekit.api	service/twirp.go:124	API RoomService.ListRooms	{"service": "RoomService", "method": "ListRooms", "room": [], "duration": "272.535µs", "status": "200"}
meallion-livekit  | 2026-03-09T12:22:33.395Z	INFO	livekit.api	service/twirp.go:124	API RoomService.ListParticipants	{"service": "RoomService", "method": "ListParticipants", "room": "web-1773058892763", "duration": "886.692µs", "status": "200"}
meallion-livekit  | 2026-03-09T12:22:38.435Z	INFO	livekit.api	service/twirp.go:124	API RoomService.ListRooms	{"service": "RoomService", "method": "ListRooms", "room": [], "duration": "208.613µs", "status": "200"}
